9622	-7734	-3170	5987	460	4805	-1821	-1957	-6265	-2047	-4954	8268	-2467	-7376	2233	980
-2341	-8164	6633	-6736	-9745	4245	427	8547	8783	5213	9580	4104	2559	-663	459	-7031
-479	-1771	1569	-9259	2292	7333	-4160	-8852	-4479	3554	-3087	-696	2313	-2921	1685	-2816
3904	-2100	2630	-4228	-5540	6342	-2474	7649	-2731	8166	3872	-4658	7420	3206	1932	-557
3842	-8765	-8646	-597	-9319	-1579	-4951	-8687	-7153	7072	-6304	6031	2468	-1790	7207	-5937
759	-362	-2849	335	8482	2201	9247	6717	8179	-2836	-6429	-7588	7344	-2140	-9885	5089
5289	-3322	-7331	-8143	9498	-6270	5479	-4871	970	-8904	-5611	-1527	-4495	-6194	5335	-3294
5712	-1284	2815	5501	7093	3559	-7418	-9157	-8027	-9426	9747	15	-1582	5735	-667	-7059
1298	-9592	-9841	-5370	9001	-3962	8210	-7600	8986	-4454	-2622	6083	6521	3740	7377	-6286
8734	-2595	-1428	-3845	2142	-4071	-9130	9387	1661	8654	3879	-5330	769	2003	2304	1420
6501	8955	5103	2437	2984	-310	5114	-1390	9799	9764	-2380	3493	2231	1994	4457	2084
161	5755	-9962	5285	-6169	-9850	-6482	3616	-9889	-564	-1853	9479	-6152	748	-3743	7564
-7030	-6274	-5744	-6243	5651	7262	1226	848	-9096	8351	-3130	-4402	9247	9799	6527	9729
4472	6719	5620	-8364	-497	-9009	3424	1068	-2007	-3283	-6374	7861	-294	3908	8432	-472
-9427	7088	8681	-1962	6712	802	-8235	-5656	-1959	8249	-7480	9816	6230	-2526	9894	-974
-8685	9561	3487	1015	-5321	-8915	8883	-1248	1419	4759	8183	-5608	-2795	6593	3565	2541
