-31	-39	40	25	-44	-43	-20	3	26	6	10	-20	-16	22	7	31	40	-17	46	15	-43	-11	-17	-38	15	7	37	10	44	-15	46	1
37	20	-39	46	2	12	24	36	-44	42	8	-16	-33	21	-35	8	-39	1	-40	-38	-24	-8	15	-17	-14	47	9	0	-2	10	43	-11
-32	-39	23	-50	45	-15	-32	-34	-43	50	4	20	-1	35	-40	21	27	22	48	-43	-12	-5	13	0	-3	23	-12	32	-41	-11	13	-33
-28	-29	-16	-50	-28	-12	40	-11	-44	-15	-16	-36	13	-21	-20	-2	42	44	31	-26	38	-22	27	-19	-2	-8	-44	12	-20	45	20	49
37	35	10	-24	-10	16	45	-37	22	-36	29	33	-6	36	5	26	-49	46	17	9	0	41	-27	-15	-30	-12	2	-49	-36	4	-38	12
41	-33	-32	42	32	-5	-28	-33	-27	46	20	-6	-2	39	25	-23	34	17	-21	9	-22	17	-48	-7	-30	27	8	-50	25	-9	-9	-13
-44	5	37	-26	40	7	29	28	26	28	-37	-8	15	-18	-22	-38	-35	-46	46	30	33	-6	-7	22	-3	-49	-33	44	10	35	46	-23
28	-12	-50	15	14	-2	14	34	16	6	-3	39	45	-34	-28	5	-36	-4	8	-20	-39	43	19	4	-2	-33	23	17	36	-4	-42	-37
40	11	14	-34	16	-13	-45	1	0	26	37	40	-28	20	27	-42	14	39	-33	39	28	-19	-19	31	-40	-30	43	46	-30	-12	5	5
-42	46	-16	-20	-35	28	-37	-17	18	31	-22	-24	10	30	-27	-31	4	16	-13	-26	-15	41	22	28	-3	26	-14	-36	-33	-5	37	0
34	-6	-22	-27	24	46	-46	46	10	-28	-28	17	-35	39	43	-22	39	-40	-16	-16	26	36	4	-38	11	-12	-48	28	-45	-49	49	38
37	13	48	4	49	-3	18	-49	-40	-14	43	34	29	16	12	-25	-14	19	34	-19	-12	-1	46	-50	8	40	39	-49	49	16	-46	9
-13	-36	13	-27	32	26	11	-35	-40	-6	-33	-37	-35	15	-25	8	-41	-40	-50	-1	21	-12	37	-49	0	-38	14	24	-18	30	-40	-5
47	48	48	33	-48	-1	-44	30	35	32	39	-42	32	9	-18	47	22	7	15	32	-37	-45	46	-41	-17	10	13	44	-12	34	18	-46
25	7	-25	-39	-1	29	-26	-15	-33	-22	-11	0	-39	-39	-25	-44	49	21	-10	-44	1	-40	20	45	-31	-36	9	-41	-48	-21	-46	3
3	-34	11	3	43	4	36	27	-27	42	-12	-32	2	-9	25	-33	48	48	-16	28	27	26	37	11	-19	42	2	-42	-23	5	0	-23
13	-24	-13	22	10	-16	-32	-37	-16	38	-47	33	-3	-1	42	-29	36	-8	-44	25	-32	27	25	-17	-19	-23	-19	-14	-31	-38	-30	30
-5	8	27	26	16	38	-26	4	-16	39	-34	-27	-12	-43	13	-14	-46	26	-19	-28	-48	18	-18	-16	43	12	30	15	-43	48	-21	37
-50	8	-43	-37	22	-8	24	-28	22	13	-36	32	-50	43	-34	31	16	17	22	-8	-42	5	-1	23	29	-42	33	-44	22	-43	49	-33
-47	-25	-27	40	1	5	-27	-37	46	-18	9	5	-48	42	0	1	-13	1	-28	27	11	-44	15	-16	2	8	-43	-8	10	28	-7	0
14	26	16	45	-42	28	-9	42	-13	33	5	31	17	-4	19	-49	-4	-39	-17	-6	-26	28	-42	-41	18	-48	-43	-5	15	8	-11	43
50	16	-17	11	-18	7	1	5	-34	40	-38	27	-21	34	-27	-45	12	41	10	32	2	33	-2	19	31	-44	23	11	-1	-16	-50	11
-6	-42	-27	13	-38	9	17	22	38	11	-11	-4	-32	-30	33	-19	33	-37	7	-10	38	28	-30	24	27	42	-30	-24	42	0	12	-16
-27	-22	-38	-15	32	-29	6	33	39	-36	-22	-7	-50	-29	44	-15	-32	15	-5	-40	3	32	-31	34	-12	15	40	-6	23	-26	-43	-20
-40	-25	19	-2	-18	50	1	33	25	41	-42	-8	-30	26	20	-30	2	-6	-44	-15	-50	37	38	17	31	29	-21	50	45	33	-46	46
-29	-23	-43	-20	31	36	-3	30	-32	-23	15	-9	-33	-20	-17	-8	-10	-23	40	11	48	27	-30	-50	-17	21	11	48	-10	17	-42	-26
-40	47	44	18	10	35	-34	-1	-11	17	-29	37	14	34	-34	-14	42	-18	-18	4	0	20	-3	50	41	-8	38	48	38	47	-16	43
-24	13	37	0	22	-34	47	44	36	-35	36	37	21	49	29	32	-19	12	-10	-5	42	34	-1	22	46	21	-34	15	-42	-33	20	-8
28	10	3	-29	36	22	25	23	-28	5	-19	-46	27	1	-30	24	32	3	-38	-23	-35	42	-48	25	-41	23	-49	-26	20	31	49	-25
9	21	-5	40	-7	40	-30	36	-17	42	14	32	35	-2	1	20	47	0	20	-12	-12	4	-14	-28	30	35	10	-43	-5	-26	-50	21
-47	29	-40	17	11	38	2	46	-15	-3	-37	-45	43	36	31	12	40	22	11	-37	48	-5	7	-24	36	-40	7	-47	34	-18	-21	12
42	-43	48	-32	-36	45	-32	-12	-36	46	6	-46	37	43	42	-25	0	-25	0	35	-31	35	-42	-41	-1	1	34	-21	-1	46	-6	-49
