-7458	2313	-9152	5892	-1904	5049	2742	-141	8384	-2511	8643	-1803	-1227	-8273	4792	-835
7336	-6484	5107	-9892	-3088	-2270	-3054	46	1701	-1733	-8667	7353	6411	4055	-5436	5742
-5255	-4966	-3207	-8319	-6429	4442	6055	7702	1890	-389	-4192	7097	-5065	6581	-4011	-4420
-2924	-4758	-3583	-7018	-9051	349	4963	4972	8990	1526	4738	4593	2440	-7807	9618	-4985
7215	-8319	7261	-5873	-2747	737	7484	-4154	-2426	238	5261	2688	950	6109	-5398	5294
6515	-5016	-9437	3645	-1929	-6001	-7413	9695	-5370	6357	-1600	-6081	2471	9303	1983	500
7180	4747	7299	6321	2539	-7078	2354	7603	130	-9271	7425	-8199	-8924	-953	-7883	-4768
1204	-4683	-6188	7643	9054	-9299	160	-1074	7865	8900	-9115	-6718	-2146	7110	8477	3408
-7934	788	-8896	8498	-5294	3209	-6223	5135	-2235	-2858	5822	2764	-6221	-1468	7761	-9464
6202	9565	8426	3342	7400	8693	7397	1689	-2107	-5496	-7374	-414	5737	5494	8884	9869
-3566	7196	8111	-3507	3064	-1252	4024	-1747	-9086	-4516	-7187	7998	323	-221	4384	9134
-8576	-8507	-6020	7919	8940	2022	-9384	3658	-5271	-5424	-4170	-1440	8033	5463	-6894	-9052
5994	-253	8636	-4128	-5198	-8655	-1979	3480	3018	-3161	-4701	-7760	5898	-7094	-4989	8406
-2039	5351	4179	-4847	-188	-1581	-5652	4826	-1750	-5586	-6255	5113	1596	2592	5240	-7057
-3725	7328	2451	-1376	-779	-1302	9336	-2194	-5194	3285	-3746	-7408	-3313	-9195	5839	2380
-4832	515	3881	1674	4982	9140	-5783	3649	-3375	-2432	-8900	-2212	3170	8238	-7924	-6437

